city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Terra Bella,2912,1359,1553,267,381,279,307,179,422,223,330,171,166,126,61,0,26.1,2703,133,40,0,36,0,0,24489.0,2181,506,1862,731,2014
Thermal,3570,2410,1160,296,406,292,186,551,638,499,387,75,22,152,66,0,25.3,3554,3,0,0,0,0,26,26344.0,2088,460,1639,1482,2014
Thornton,748,380,368,75,52,94,42,48,77,116,70,18,37,22,97,0,33.8,486,196,7,4,48,0,14,33500.0,536,221,375,212,2014
Thousand Oaks,128126,62493,65633,5771,8780,8867,10133,7036,12921,16028,20666,8884,8735,11201,5711,3393,42.1,21824,88501,1497,137,12192,67,7749,99115.0,115870,103135,28077,11893,2014
Thousand Palms,7956,3689,4267,527,507,332,477,276,1208,837,955,335,770,689,787,256,42.8,4951,2682,195,0,0,20,177,43813.0,5763,3325,3536,2193,2014
Three Rivers,2278,1213,1065,100,36,66,97,91,178,207,392,262,137,410,165,137,54.0,170,1999,11,17,7,12,124,43913.0,1967,1533,911,311,2014
Tiburon,9100,4263,4837,369,625,649,433,370,553,875,1524,648,679,1268,787,320,49.8,675,7849,21,25,338,15,305,130661.0,8784,7821,2599,281,2014
Tipton,2327,1307,1020,196,268,289,249,174,383,290,262,72,56,23,44,21,24.7,1935,336,0,0,0,0,112,32239.0,1623,444,1258,704,2014
Tomales,155,57,98,0,0,0,0,0,19,18,37,55,0,8,18,0,57.1,0,118,0,0,0,0,74,38480.0,100,92,26,55,2014
Topanga,8923,4141,4782,691,765,511,370,214,802,995,2103,799,396,689,443,145,45.8,761,7327,67,0,380,13,705,115518.0,8127,7062,1832,796,2014
Torrance,147181,71517,75664,8084,7840,9001,8902,8731,17561,20727,24487,10255,7718,12115,7651,4109,41.6,24046,61828,3914,288,49502,430,13821,78286.0,130888,110111,35449,15506,2014
Tracy,84573,42957,41616,6676,7151,8120,7099,5256,10376,13474,12160,4519,3215,4111,1811,605,33.0,32993,28737,5449,288,11884,597,9130,74748.0,74647,59733,20540,9716,2014
Tranquillity,897,413,484,128,100,73,35,14,108,52,74,0,88,170,39,16,33.8,678,219,0,0,0,0,0,24919.0,724,220,596,173,2014
Traver,910,510,400,56,79,73,79,108,116,131,124,34,19,57,32,2,30.0,705,124,0,58,0,0,44,38359.0,551,161,402,359,2014
Tres Pinos,457,222,235,20,25,53,13,9,80,67,86,37,35,21,4,7,40.7,127,306,8,0,5,0,22,75893.0,380,347,51,77,2014
Trinidad,236,114,122,3,0,6,1,15,20,44,17,21,28,46,28,7,56.3,9,212,0,4,1,0,20,42917.0,186,142,101,50,2014
Trona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,2014
Truckee,16191,8582,7609,1049,1017,1182,1001,585,2431,2798,2897,1286,802,702,307,134,37.5,2731,12994,9,26,333,0,196,72159.0,13161,11186,3340,3023,2014
Tulare,60663,29559,31104,5565,5717,5551,4411,4897,8862,7736,6791,3341,2471,3087,1495,739,29.9,34983,20927,1699,520,1292,53,2277,46387.0,48677,29188,23659,11708,2014
Tulelake,1029,519,510,90,69,62,97,95,123,118,121,88,51,68,38,9,34.1,592,412,0,6,0,0,38,35208.0,683,344,392,346,2014
Tuolumne City,1824,820,1004,164,74,15,36,78,258,230,195,175,78,359,115,47,48.1,235,1500,0,14,2,0,146,33030.0,1681,984,1180,143,2014
Tupman,176,97,79,13,10,24,15,25,23,5,33,3,2,19,4,0,27.2,31,145,0,0,0,0,0,45313.0,157,80,83,19,2014
Turlock,69875,34494,35381,4971,5439,4672,5874,5446,10347,9154,8093,3757,3351,4702,2610,1459,33.2,25591,35597,1534,226,4033,500,4416,51594.0,59249,42138,23027,10153,2014
Tustin,77765,38091,39674,5621,4973,5806,5312,5623,12739,12603,10584,4247,3297,3864,2281,815,34.2,32170,25203,1870,391,15696,414,3835,71105.0,63670,49672,18026,13897,2014
Twain Harte,2374,1201,1173,101,58,51,117,191,209,81,340,238,392,381,161,54,55.5,140,2192,0,18,24,0,0,43625.0,1922,1331,1103,452,2014
Twentynine Palms,25601,13894,11707,3201,1538,1049,1831,6007,4836,1937,1783,1124,703,975,472,145,23.9,5774,15546,1998,142,786,235,2135,40890.0,17389,13386,5898,1731,2014
Ukiah,15956,7812,8144,1229,1058,1104,1280,1148,1947,1803,2085,875,886,1540,639,362,36.3,4223,10017,139,463,368,96,1225,42237.0,13628,7596,7798,1926,2014
Union City,71675,35399,36276,4811,4516,4419,3776,4815,11116,10438,9662,4852,3950,5435,2877,1008,37.1,15784,9999,4027,271,36962,1012,6942,82564.0,63998,49993,19658,7514,2014
Upland,75089,34960,40129,4523,4418,5114,5262,5596,10066,10159,10453,5089,4143,5770,3251,1245,37.5,28849,32941,4002,88,6607,129,4612,61551.0,63323,46701,23011,11311,2014
Upper Lake,755,402,353,37,109,53,61,47,78,101,39,36,38,93,38,25,33.7,243,445,0,21,7,0,78,32438.0,622,240,505,133,2014
Vacaville,93994,50063,43931,5575,5710,6259,6728,6716,13362,13462,14513,5755,5444,6122,2944,1404,37.5,22153,51331,8461,289,6345,410,9859,74207.0,76522,64204,22635,7828,2014
Valinda,23818,11992,11826,1454,1618,2026,2016,1833,4008,3303,2795,1434,1077,1339,724,191,31.7,18956,1653,250,35,2677,11,391,66697.0,18215,11588,7522,5598,2014
Vallecito,573,266,307,87,54,35,57,0,96,38,84,0,8,56,48,10,31.7,9,564,0,0,0,0,0,83487.0,556,337,306,17,2014
Vallejo,118078,56421,61657,7577,6654,6916,7515,8941,15879,14252,16783,9207,8624,8905,4564,2261,38.5,28603,29106,24485,558,28267,977,11981,58472.0,99072,71933,39551,18364,2014
Valley Center,9872,4970,4902,409,690,754,779,575,1184,736,1750,1125,759,729,293,89,41.6,1944,7070,36,346,155,71,419,85176.0,7464,6194,1978,2378,2014
Valley Home,292,124,168,17,3,3,43,37,23,28,42,33,18,11,31,3,42.5,84,201,2,0,2,0,6,36964.0,211,115,139,81,2014
Valley Springs,3631,1904,1727,56,105,209,441,211,217,408,652,402,261,477,146,46,49.4,451,3010,29,15,102,0,48,67827.0,3068,2515,1166,563,2014
Val Verde,2550,1227,1323,158,183,209,328,217,245,367,434,173,117,110,9,0,33.2,1700,600,123,0,32,0,190,68017.0,1851,1207,745,699,2014
Vandenberg AFB,3464,1893,1571,586,395,225,114,721,989,332,44,19,32,7,0,0,23.1,789,1764,330,0,176,0,810,61308.0,2575,2550,115,7,2014
Victor,605,293,312,57,86,180,29,34,56,81,38,0,0,27,17,0,14.3,586,19,0,0,0,0,0,19259.0,549,138,411,56,2014
Victorville,119603,58477,61126,10122,11260,11717,10720,8743,17640,16193,13403,4990,4789,6273,2917,836,29.0,62335,30021,18588,292,5691,268,4589,47142.0,93648,55697,45901,21233,2014
Villa Park,5911,3003,2908,121,331,274,495,341,401,491,1133,473,355,833,549,114,50.5,348,4184,103,0,1099,0,354,150864.0,5447,4697,1765,464,2014
Vina,161,64,97,0,9,0,17,0,8,8,29,8,30,15,29,8,60.2,32,112,0,0,8,0,18,26250.0,153,105,91,8,2014
Visalia,126942,62649,64293,10946,9922,10043,10520,8874,18416,16560,15588,6101,5914,8083,3972,2003,31.8,60240,54615,2415,795,6339,195,4514,52262.0,107707,69877,48409,18198,2014
Vista,96181,47679,48502,6259,6315,6132,5769,8796,17327,13779,12630,5359,4253,4861,3015,1686,33.7,45869,40694,2273,157,4954,174,4049,47782.0,72454,53882,24753,21317,2014
Walnut,29822,15007,14815,1047,1540,1964,2205,2354,3263,3530,4779,2419,2659,2626,1049,387,42.7,5819,3513,771,29,18860,0,1595,100934.0,26539,22655,5446,3265,2014
Walnut Creek,65923,30328,35595,2838,2808,3320,3023,2874,7187,8109,9494,4244,4120,7781,6511,3614,48.4,6680,47342,1151,151,8543,89,3845,80399.0,60732,54128,20233,4407,2014
Walnut Grove,1137,530,607,68,33,112,65,137,73,67,171,73,88,152,74,24,46.5,339,703,0,0,92,3,0,65463.0,967,731,390,170,2014
Walnut Park,16039,8351,7688,1069,1136,1241,1498,1269,2426,2350,1921,716,738,980,455,240,32.4,15605,226,0,47,88,18,105,41202.0,11022,5295,6208,5017,2014
Wasco,25865,15905,9960,2129,1880,1949,1996,2794,5066,3714,2930,971,921,821,430,264,29.0,19988,3509,1874,89,260,12,253,39273.0,14747,7018,8478,5189,2014
Waterford,8579,4346,4233,620,859,822,976,629,977,1041,1392,437,384,323,55,64,30.3,4262,3836,57,41,161,17,410,44660.0,6765,4069,3262,1814,2014
Watsonville,52085,26284,25801,4735,4498,3990,4469,4872,7038,7209,6002,2573,1968,2418,1418,895,29.9,42070,7754,120,93,1542,130,721,46691.0,40880,22826,21224,10978,2014
Weaverville,3294,1461,1833,164,148,256,176,109,397,338,387,303,337,242,296,141,46.7,255,2525,19,180,102,0,426,42165.0,2606,1483,1474,592,2014
Weed,2937,1420,1517,154,202,228,372,233,386,293,417,132,116,221,140,43,32.0,623,1922,153,97,53,1,176,29200.0,2419,1469,1330,471,2014
Weldon,2604,1489,1115,150,86,114,131,53,99,154,503,132,324,517,341,0,55.5,67,2173,0,319,0,0,45,30988.0,2270,1251,1467,334,2014
Weott,152,96,56,0,0,0,16,0,39,0,21,76,0,0,0,0,53.5,0,152,0,0,0,0,0,93393.0,152,113,39,0,2014
West Covina,107441,51117,56324,6558,6411,7638,7972,8470,14666,14331,14452,6924,6140,7359,4156,2364,36.6,58774,14453,5175,144,27489,0,2718,67069.0,89464,65754,30363,17540,2014
West Hollywood,35053,19873,15180,542,429,427,218,1979,10448,6018,5870,1934,1864,2674,1630,1020,40.8,4468,26282,1075,122,1734,40,2516,56025.0,29415,24126,7477,5633,2014
Westlake Village,8393,3957,4436,327,414,577,712,288,579,809,1316,761,614,1046,750,200,49.2,820,6732,40,0,418,14,738,115550.0,8076,7229,2296,312,2014
Westley,853,450,403,77,157,122,87,36,136,74,106,23,0,25,0,10,17.5,788,65,0,0,0,0,0,18462.0,587,38,559,266,2014
Westminster,91255,45389,45866,4876,4877,6162,6104,6598,11651,12131,13470,5959,5183,7520,4978,1746,40.0,20825,23345,618,189,43528,483,4480,53660.0,74914,45559,35299,16068,2014
Westmorland,1747,809,938,153,178,173,176,68,198,161,129,137,112,104,130,28,28.5,1600,108,39,0,0,0,0,22372.0,1323,300,1079,424,2014
West Point,743,374,369,16,13,32,72,5,0,151,61,17,88,141,54,93,61.1,81,656,0,0,0,0,12,28262.0,692,255,621,46,2014
West Sacramento,49946,24502,25444,3767,3847,3536,3100,3691,8369,6861,6563,2442,2383,3216,1605,566,33.6,15953,23717,1988,377,4893,653,4695,53307.0,42267,30500,15792,7472,2014
West Whittier-Los Nietos,26590,13348,13242,1240,1891,1780,2109,2063,4150,3648,3176,1670,1791,1536,1023,513,35.2,23422,2458,181,184,278,12,91,62486.0,20911,14209,7937,5643,2014
Westwood,1509,862,647,73,108,108,97,126,164,183,257,111,81,115,74,12,38.3,51,1354,0,34,15,7,96,33452.0,1223,737,598,286,2014
Wheatland,3494,1879,1615,152,179,344,392,220,428,493,597,237,153,159,106,34,35.9,730,2088,76,5,399,0,392,61370.0,3001,2205,1154,437,2014
Whittier,86400,41881,44519,5775,5418,5764,7146,6966,11934,11670,12040,5131,3838,5050,3583,2085,35.2,57838,22682,881,174,3310,83,2510,65583.0,73033,56124,22996,12832,2014
Wildomar,33601,17267,16334,2181,2616,2741,2740,2457,4645,4011,4818,2082,1950,1847,1083,430,33.6,13457,16157,1777,18,1246,141,1499,60816.0,27115,19886,9806,6357,2014
Williams,5166,2821,2345,492,381,371,443,428,728,764,604,267,235,255,163,35,31.3,4011,1064,14,8,37,0,64,54069.0,3723,1927,2064,1351,2014
Willits,4853,2211,2642,356,220,140,201,511,422,511,785,445,464,370,345,83,46.1,830,3614,4,151,45,0,418,34186.0,3822,2226,2055,979,2014
Willow Creek,1425,851,574,63,66,78,11,102,77,223,168,166,197,220,54,0,52.0,139,1072,0,6,0,13,390,35607.0,1143,591,732,282,2014
Willows,6118,3048,3070,244,381,495,503,436,735,936,989,166,490,366,290,87,39.5,1860,3547,120,214,186,0,382,38730.0,4805,3448,2091,1100,2014
Wilton,4670,2260,2410,176,291,395,251,187,530,340,744,489,345,475,359,88,48.3,754,3224,114,44,293,5,423,81250.0,4257,3774,1377,408,2014
Winchester,2717,1466,1251,74,89,264,228,271,166,358,644,140,104,325,38,16,41.5,594,1921,37,0,49,0,232,57935.0,2170,1283,956,547,2014
Windsor,27113,13256,13857,1618,2016,1984,2281,1382,3019,3537,4253,1666,1738,1867,1273,479,38.4,7666,17648,66,316,1017,0,800,81442.0,24608,20732,6508,2489,2014
Winterhaven,151,84,67,35,0,0,15,0,0,0,48,0,9,21,23,0,53.3,15,53,0,67,0,0,32,21793.0,142,21,121,9,2014
Winters,6843,3180,3663,294,488,402,572,414,976,715,1092,666,415,497,230,82,38.7,3123,3273,27,78,150,45,294,59856.0,6086,4947,1818,742,2014
Winton,11774,6019,5755,1052,1221,1231,1210,1133,1570,1270,1738,375,363,365,205,41,25.2,9024,1900,287,9,506,0,78,41091.0,8971,4201,5408,2803,2014
Woodacre,1778,934,844,37,94,166,85,55,96,144,375,155,263,178,54,76,51.3,93,1641,0,0,38,0,12,88657.0,1690,1482,411,88,2014
Woodlake,7452,3600,3852,815,818,468,636,738,900,802,881,456,344,343,221,30,28.3,6548,736,33,14,9,0,224,35509.0,6028,2587,3870,1424,2014
Woodland,56390,27892,28498,4074,4143,3783,4203,4474,7777,7202,7738,3157,3198,3415,2003,1223,34.7,26906,23661,414,274,3779,75,2473,54532.0,47325,34890,17866,8150,2014
Woodside,5427,2613,2814,133,357,429,507,114,239,436,1079,587,325,613,411,197,49.5,239,4755,20,0,293,0,207,206528.0,5238,4685,1288,189,2014
Woodville,1961,1084,877,238,177,139,185,140,367,264,178,121,49,74,26,3,28.0,1767,189,0,0,0,0,10,34750.0,1161,247,939,800,2014
Wrightwood,4452,2245,2207,348,367,322,333,156,525,569,745,324,192,516,41,14,37.2,691,3712,0,0,0,0,98,55697.0,3967,3199,1317,485,2014
Yettem,285,128,157,36,34,51,0,41,0,96,27,0,0,0,0,0,24.5,285,0,0,0,0,0,0,,224,1,223,61,2014
Yolo,561,332,229,9,60,98,29,20,89,70,84,28,43,17,14,0,33.2,490,71,0,0,0,0,0,75089.0,372,306,112,189,2014
Yorba Linda,66335,33344,32991,4021,4126,4941,4479,4034,6683,8062,11681,5171,4129,5469,2400,1139,41.8,11250,40780,683,134,11166,54,4474,115994.0,62149,56065,11681,4041,2014
Yountville,2977,1291,1686,51,112,82,76,98,100,204,270,368,197,483,440,496,63.6,221,2554,113,26,28,0,70,65568.0,2272,1941,1072,191,2014
Yreka,7675,3550,4125,602,645,477,522,482,848,780,828,443,489,726,552,281,37.2,829,5653,132,265,189,80,1054,26385.0,6853,3561,4535,783,2014
Yuba City,65141,32318,32823,4839,5378,4124,4985,5028,9301,8155,8113,3566,3254,4544,2778,1076,33.8,18360,29796,1531,538,11821,233,5564,50494.0,53169,33625,25789,10983,2014
Yucaipa,52406,26495,25911,3524,3805,3341,3707,3822,6376,6372,6978,3754,3096,4234,2415,982,37.5,16198,33014,723,302,878,348,1886,58506.0,44439,32021,16863,7546,2014
Yucca Valley,21083,10386,10697,1411,1603,1480,1398,1083,2803,2530,2566,1291,1064,1989,1232,633,37.4,3595,15194,1001,255,417,18,1135,43086.0,16946,10356,9115,3744,2014
Acampo,787,533,254,67,0,0,0,134,243,18,175,103,47,0,0,0,31.4,418,369,0,0,0,0,0,152713.0,695,695,0,92,2015
Acton,7058,3755,3303,382,401,452,406,538,388,741,1304,877,490,759,296,24,47.5,1174,5462,135,15,75,0,334,89150.0,6443,5761,1532,602,2015
Adelanto,32059,16270,15789,3804,3412,2957,2626,2783,4702,3860,3835,1063,876,1305,651,185,25.6,18830,5767,6205,6,395,0,1664,33298.0,25857,10324,16609,4548,2015
Adin,173,84,89,6,0,16,20,0,4,0,12,28,44,14,17,12,60.0,0,173,0,0,0,0,0,,173,124,96,0,2015
Agoura Hills,20697,10446,10251,859,1085,1718,1568,1035,1972,2830,3977,1830,1255,1828,564,176,43.3,2547,15555,431,10,1503,0,1242,113658.0,19468,17616,3743,1143,2015
Agua Dulce,3567,1795,1772,203,140,194,311,133,286,398,627,402,237,463,155,18,46.4,753,2456,7,0,61,0,580,99638.0,3360,2968,995,207,2015
Aguanga,766,439,327,0,58,19,55,0,59,70,99,172,68,102,41,23,56.1,198,568,0,0,0,0,0,43505.0,535,317,218,231,2015
Ahwahnee,1709,863,846,20,88,99,94,64,79,144,154,183,143,218,386,37,56.0,31,1641,0,26,0,0,22,62715.0,1586,1214,819,111,2015
Alameda,76733,37208,39525,4369,4590,3793,3709,4144,10803,12356,12036,5237,5125,6083,3117,1371,40.7,9079,33353,5297,138,23661,561,8868,79312.0,68303,57004,19173,6960,2015
Alamo,16301,8281,8020,848,958,1338,1593,578,1040,1535,2669,1453,1233,1902,908,246,46.3,1426,13144,170,13,863,51,997,165070.0,15927,15143,3269,355,2015
Albany,19249,9390,9859,1547,1459,1405,1105,832,3101,3236,2726,1041,835,1283,509,170,35.5,2491,9161,839,59,5166,198,2513,79596.0,18085,16069,3650,1104,2015
Albion,303,194,109,0,0,0,83,47,18,12,91,0,23,21,2,6,42.9,33,195,2,0,31,0,84,,216,158,70,87,2015
Alhambra,84782,41440,43342,4288,4228,4047,4599,6032,13440,11410,12696,6739,5045,6600,3575,2083,40.7,30408,8701,1264,126,42813,145,2439,53582.0,71193,49160,27193,12991,2015
Aliso Viejo,49829,23774,26055,3712,3436,3706,3397,2514,6912,8979,8807,2557,1951,2596,717,545,36.6,8599,29546,1135,120,7724,19,4867,102367.0,46395,42758,6098,3398,2015
Allensworth,565,281,284,70,50,63,65,56,59,64,62,44,6,21,5,0,22.6,521,7,29,0,2,0,12,28929.0,437,72,373,128,2015
Alpaugh,1103,558,545,145,158,122,83,68,142,131,151,48,15,17,19,4,22.3,854,187,0,52,4,0,12,27222.0,869,241,673,234,2015
Alpine,14830,6910,7920,657,643,862,1089,1096,1541,1420,2600,994,1165,1555,792,416,45.5,2452,11585,171,125,183,24,455,77883.0,13578,11138,4700,1219,2015
Alta,455,216,239,17,17,30,23,29,38,63,62,33,50,55,24,14,46.5,42,413,0,0,0,0,0,54773.0,434,302,211,21,2015
Altadena,44621,21897,22724,2311,2416,2273,3118,2720,4949,6101,7356,3491,2892,3964,2201,829,42.2,12060,18007,9665,22,2955,24,3566,86050.0,38970,30397,13131,5368,2015
Alturas,2660,1307,1353,135,131,258,154,111,259,307,520,131,205,247,164,38,43.6,344,2094,0,92,2,0,256,29730.0,2340,1382,1339,289,2015
American Canyon,20271,10002,10269,1304,1422,1824,1607,1377,2374,3070,2872,1285,999,1287,649,201,35.8,5532,5111,1579,30,7069,38,1698,75997.0,18691,15156,5647,1551,2015
Anaheim,345578,172455,173123,24975,24283,24242,24749,26946,54779,48972,46069,19238,15724,20025,10677,4899,33.6,183479,92136,7442,462,54461,1212,12378,60752.0,277372,182145,112979,66156,2015
Anderson,10122,4987,5135,799,666,764,747,706,1458,1248,1265,554,627,624,487,177,34.3,1441,7959,6,168,129,16,806,32536.0,8361,4121,5313,1761,2015
Angels,3753,1731,2022,220,104,137,194,403,324,313,418,258,319,725,262,76,50.4,463,3177,0,30,13,0,140,57829.0,3257,2303,1831,496,2015
Angwin,3522,1825,1697,93,137,84,540,874,483,290,264,147,216,271,80,43,25.4,890,1695,254,0,476,29,339,61531.0,3119,2740,792,403,2015
Antelope,47763,22907,24856,3373,3543,4022,4215,3910,6164,6763,6783,3252,1977,2284,1181,296,32.6,7010,28036,3867,120,4862,857,5624,63607.0,40882,30957,13691,6812,2015
Antioch,107501,52634,54867,6232,7731,8366,9163,8392,13696,13303,15562,8011,6142,6686,3094,1123,35.2,36218,34141,19651,423,10640,732,11224,64329.0,95682,68922,37268,11501,2015
Anza,2771,1244,1527,313,160,190,38,156,458,193,388,93,334,333,85,30,36.8,622,1831,9,36,0,51,444,34153.0,2478,1259,1556,293,2015
Apple Valley,71083,34083,37000,4697,4694,5096,5580,5521,8340,7093,9217,4794,4170,6820,3652,1409,37.5,22290,39696,5261,157,1921,5,3468,47938.0,62823,38654,32504,7876,2015
Aptos,6048,2946,3102,253,307,423,401,552,626,701,930,557,348,597,248,105,42.2,930,4595,93,13,162,26,458,81180.0,5662,5005,1400,386,2015
Arbuckle,3360,1682,1678,403,248,219,387,234,471,355,506,138,154,147,98,0,28.8,2577,659,0,0,0,0,248,51641.0,2714,1418,1432,641,2015
Arcadia,57564,26439,31125,2107,2973,4531,3588,3490,5616,7620,10277,4374,3301,5047,2778,1862,43.8,7170,14040,807,116,33650,74,3159,79934.0,52038,42004,14843,5295,2015
Arcata,17752,8546,9206,629,469,774,2582,4716,2531,1388,1342,828,818,1037,457,181,24.3,2662,12966,391,419,427,23,1691,29435.0,14973,11046,5831,2749,2015
Armona,3724,1822,1902,210,488,396,358,281,502,501,394,141,118,209,101,25,27.8,2546,640,163,38,284,0,106,35500.0,2994,1574,1770,730,2015
Arnold,2554,1407,1147,49,42,178,93,43,112,213,480,305,217,579,215,28,55.9,179,2301,0,0,24,0,100,52034.0,2367,1644,1350,187,2015
Aromas,2860,1411,1449,188,134,147,212,250,385,195,460,356,196,245,79,13,40.9,1101,1579,0,50,119,0,22,76970.0,2471,1932,765,389,2015
Arroyo Grande,17720,8772,8948,1001,859,1022,1314,1041,1125,2452,2509,1443,1154,2093,1149,558,45.2,2817,13146,27,22,1125,0,1154,62032.0,16292,13589,5472,1290,2015
Artesia,16785,8574,8211,713,859,1122,1175,1396,2116,2658,2359,1299,876,956,853,403,39.3,6197,3265,353,0,6686,0,558,60749.0,12989,9151,4887,3434,2015
Arvin,20328,10579,9749,2322,2102,1955,2029,2199,3029,2611,2034,586,601,551,269,40,23.7,18809,1183,138,13,68,21,149,35609.0,14421,5217,9766,5833,2015
Atascadero,29084,15016,14068,1783,1668,1779,1473,1991,4039,3493,3930,2138,2250,2451,1388,701,40.8,4506,22733,438,34,630,52,1382,66607.0,25900,21803,8270,2843,2015
Atherton,7081,3569,3512,327,303,502,583,491,354,575,1055,563,775,880,381,292,49.4,348,5434,13,0,899,20,713,,6995,6454,1663,86,2015
Atwater,28858,14095,14763,2556,2365,2698,2538,2013,4315,3565,3144,1374,1161,1767,1111,251,30.7,15368,9840,1197,127,1264,108,1869,41414.0,24283,14336,12749,4488,2015
Auberry,2420,1243,1177,186,128,128,104,165,220,232,341,270,145,208,245,48,46.1,795,1502,7,16,24,0,152,40417.0,1978,1483,798,335,2015
Auburn,13785,6863,6922,614,684,754,570,865,1433,1574,2200,1098,978,1722,760,533,47.9,1198,11361,177,71,357,0,1242,53984.0,12478,10106,5061,1162,2015
Avalon,3777,1710,2067,315,256,320,276,269,493,514,446,246,212,290,73,67,34.8,2621,1081,7,10,2,0,112,59191.0,2674,1938,941,1088,2015
Avenal,14154,10142,4012,1363,910,594,833,1332,2344,2392,2616,826,275,487,118,64,33.4,10815,1845,913,129,102,4,688,32432.0,6944,3277,3854,1925,2015
Avery,622,266,356,44,19,39,12,11,33,38,181,0,39,112,85,9,50.1,9,613,0,0,0,0,0,50647.0,558,347,340,64,2015
Avocado Heights,15917,7917,8000,1086,739,1019,1128,1332,2651,1925,1961,870,982,1128,806,290,35.0,13066,1132,12,7,1576,0,151,71148.0,12860,8691,5279,3057,2015
Azusa,48033,23253,24780,2955,3198,3126,5119,6536,7276,5984,5579,2176,1944,2600,1050,490,28.7,30987,9782,1157,118,4923,24,1947,53135.0,39110,26205,14674,8786,2015
Baker,831,414,417,88,50,81,107,106,95,137,76,40,30,21,0,0,23.4,575,218,0,0,33,0,10,30750.0,584,178,406,233,2015
Bakersfield,363612,179681,183931,31776,30700,28861,29478,30329,55428,46870,42762,19079,16180,18912,9520,3717,30.4,172538,128043,28525,1911,24304,537,15022,57095.0,310665,211326,126265,51269,2015
Baldwin Park,76602,38508,38094,5004,5057,5711,6446,6826,11309,10303,10510,4414,3401,4667,2116,838,33.0,58152,3115,1123,430,13309,219,453,51742.0,58876,32002,29358,17331,2015
Ballico,315,187,128,9,30,29,12,27,56,30,33,28,19,20,3,19,34.0,161,134,11,5,4,0,0,28571.0,284,187,123,31,2015
Bangor,586,264,322,16,13,74,31,10,51,58,107,24,58,89,39,16,49.0,2,547,0,11,0,0,52,41307.0,515,381,243,71,2015
Banning,30515,14548,15967,1864,1814,1403,1852,2288,3928,2596,3272,1531,1534,3625,3538,1270,42.6,12580,13272,2242,588,1383,16,838,40405.0,24513,12649,16152,4865,2015
Barstow,23281,11226,12055,2605,1753,1969,1995,1770,2780,2977,2752,1051,1162,1164,1029,274,30.2,10475,7285,3222,192,686,642,1531,39632.0,20676,11281,11618,2294,2015
Bay Point,22473,11287,11186,1558,1966,1878,2204,1866,3270,3200,2857,1012,1000,1128,423,111,30.6,13173,3950,2382,103,1912,258,1361,44745.0,18152,10207,9380,4244,2015
Beale AFB,1143,622,521,213,202,53,15,131,419,77,33,0,0,0,0,0,23.8,110,666,145,0,155,6,122,38786.0,956,784,192,18,2015
Beaumont,40899,19882,21017,3624,3385,3224,2893,2242,5404,6199,4671,2065,2125,3377,1314,376,34.6,15939,17402,2766,68,3521,57,2221,64830.0,36073,27183,12332,4623,2015
Bell,35998,18374,17624,3044,2943,2901,3151,3128,5188,5188,4479,1784,1315,1635,912,330,29.9,33199,1928,383,14,389,31,108,37269.0,25890,11567,15207,10009,2015
Bella Vista,2860,1483,1377,207,130,113,149,162,293,262,529,218,225,415,97,60,46.3,253,2419,9,83,0,0,192,51690.0,2525,1477,1455,330,2015
Bellflower,77756,37596,40160,5779,5678,6117,6482,6503,11273,10338,9907,4790,3648,4165,2124,952,32.2,42181,13711,11129,160,9085,168,2413,48823.0,63524,42109,25239,13856,2015
Bell Gardens,42842,21152,21690,4069,4017,3887,3828,3520,6912,6257,4737,1867,1359,1521,574,294,27.6,41057,1213,248,52,258,11,6,37882.0,29405,12290,17876,13163,2015
Belmont,26766,13310,13456,1707,1620,1902,1310,1424,3013,4275,3983,2045,1410,2113,1335,629,40.3,3378,15443,364,57,5964,34,2972,109631.0,25444,22579,6027,1186,2015
Belvedere,1992,897,1095,68,103,152,121,25,32,170,262,153,224,322,181,179,57.7,62,1735,0,0,95,0,200,169659.0,1940,1709,649,52,2015
Benicia,27657,13407,14250,1473,1686,1959,1791,1443,3073,3074,4721,2131,2211,2658,1141,296,43.0,4349,16809,1480,89,3244,85,3177,88394.0,25799,22796,6699,1832,2015
Ben Lomond,6507,3174,3333,400,298,436,319,343,930,750,1113,550,645,569,109,45,42.6,570,5552,8,13,159,0,344,70266.0,5794,4671,1759,713,2015
Berkeley,117384,57245,60139,4134,3949,3873,12305,20125,20075,13017,11851,5935,6124,9518,4155,2323,31.4,13434,65608,8667,388,22951,249,11787,66237.0,109138,96174,24786,7834,2015
Bermuda Dunes,8219,3924,4295,777,560,455,484,788,1214,990,1062,724,405,440,229,91,33.3,2944,4462,551,110,31,0,242,60020.0,6453,4561,2472,1766,2015
Berry Creek,1325,727,598,41,38,59,40,37,159,163,145,215,124,183,91,30,52.9,73,1180,23,9,9,0,62,38810.0,1026,534,736,299,2015
Beverly Hills,34663,15851,18812,1293,1943,2141,2046,1821,5174,4131,5315,1908,1912,3567,2029,1383,42.3,2295,27099,558,51,3166,7,2882,97327.0,31904,28219,8177,2747,2015
Bieber,120,63,57,0,3,13,9,0,0,20,9,19,0,19,14,14,56.8,0,118,0,0,0,0,4,45227.0,97,79,56,23,2015
