city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Bay Point,21614,11178,10436,1688,1939,1496,2132,1386,3559,3247,2907,986,896,954,332,92,31.3,11788,4422,2642,15,1838,122,1537,44966.0,17323,10896,7714,4237,2012
Beale AFB,1581,880,701,292,213,83,63,225,486,187,21,0,7,0,0,4,24.1,113,1094,112,0,115,9,218,41917.0,1117,983,138,0,2012
Beaumont,36687,17797,18890,3699,3017,2559,2849,1753,5612,5729,4114,2063,1774,2341,873,304,33.2,13602,16754,1944,60,3537,0,1530,67758.0,31927,26264,8230,4512,2012
Bell,35619,18649,16970,3598,2687,3074,3527,2890,5093,5338,4287,1737,1090,1062,855,381,28.7,32706,2139,385,16,145,130,181,36654.0,21731,9907,12409,13796,2012
Bella Vista,2605,1220,1385,195,55,223,208,127,203,300,502,89,118,364,188,33,44.7,202,2284,3,56,16,20,48,63125.0,2444,1775,1153,161,2012
Bellflower,76619,37333,39286,6327,6131,6395,6056,6102,11196,10920,9599,4006,3304,3683,2251,649,31.4,41287,14904,10433,196,8265,238,2249,50765.0,59948,40822,23196,16348,2012
Bell Gardens,42323,21265,21058,4024,3805,4115,4312,3328,6493,6205,4922,1777,1125,1336,555,326,27.2,41124,840,195,21,82,18,43,38272.0,25644,11737,14737,16455,2012
Belmont,25887,12800,13087,1906,1455,1452,1238,1032,3270,4264,3998,1839,1365,1946,1462,660,40.3,2760,15026,587,49,5779,0,3304,103083.0,23875,22028,5017,1904,2012
Belvedere,1994,994,1000,72,191,86,107,22,49,212,246,222,133,305,220,129,55.2,139,1739,6,0,52,0,116,166458.0,1895,1723,648,99,2012
Benicia,27088,13219,13869,1021,1686,2141,1945,1223,2604,3322,5101,2576,1985,2062,1183,239,43.9,3878,17836,964,118,2647,183,2889,88691.0,24695,22412,5494,2358,2012
Ben Lomond,6317,3111,3206,370,290,312,379,439,921,760,1098,552,540,454,93,109,42.3,524,5561,0,4,65,0,291,78281.0,5529,4684,1424,788,2012
Berkeley,112662,55038,57624,4203,4253,3397,12408,18942,17869,12703,12660,6577,6111,8266,3398,1875,31.7,12516,62488,9587,228,22105,334,10296,63505.0,102661,91778,21254,9674,2012
Bermuda Dunes,7317,3774,3543,798,525,190,396,411,834,1074,901,633,538,592,300,125,39.2,1892,4691,468,0,68,0,396,61935.0,5969,4714,2032,1348,2012
Berry Creek,1187,669,518,57,25,65,57,35,103,164,164,202,94,158,34,29,51.5,56,992,0,15,4,0,240,40188.0,872,575,522,315,2012
Beverly Hills,34215,15744,18471,1384,1627,2149,2092,2146,4321,4325,5296,2049,2117,3046,2260,1403,42.8,1725,28674,959,33,1804,47,1946,85918.0,31108,27973,7661,3070,2012
