city,enrollment,vaccinated,school_year,year,vac_pct,geoid,male_pct,female_pct,under_5_pct,5_9_pct,10_14_pct,15_19_pct,20_24_pct,25_34_pct,35_44_pct,45_54_pct,55_59_pct,60_64_pct,65_74_pct,75_84_pct,85_over_pct,median_age,hispanic_latino_pct,white_pct,black_pct,aian_pct,asian_pct,nhopi_pct,other_pct,median_income,insurance_pct,private_insure_pct,public_insure_pct,no_insurance_pct
Arvin,3925.0,3911.0,2011-2012,2012,99.64331210191084,1600000US0602924,51.9,48.1,11.1,9.6,9.7,11.6,10.2,14.1,12.8,9.7,3.4,3.4,3.1,1.1,0.3,23.7,88.8,8.5,0.5,0.0,1.3,0.2,1.2,30719.0,63.8,27.1,40.0,36.2
Atascadero,3169.0,2972.0,2011-2012,2012,93.78352792679078,1600000US0603064,52.4,47.6,5.1,4.0,7.3,7.0,6.9,12.0,11.8,17.8,8.7,5.7,6.6,4.9,2.1,41.9,15.3,78.8,1.6,0.9,1.3,0.1,4.0,66603.0,85.9,73.4,25.9,14.1
Atherton,4461.0,4388.0,2011-2012,2012,98.36359560636629,1600000US0603092,50.0,50.0,4.9,5.5,9.6,10.0,4.7,4.9,8.0,16.8,6.0,9.8,9.6,7.7,2.4,46.4,5.2,80.3,0.2,0.0,9.4,0.9,7.9,228393.0,97.6,91.9,21.2,2.4
Atwater,5833.0,5774.0,2011-2012,2012,98.98851362935025,1600000US0603162,49.1,50.9,9.2,9.4,8.5,8.8,6.9,14.7,11.7,11.9,3.9,4.4,5.8,3.6,1.2,30.0,50.6,37.3,3.6,0.1,5.4,0.6,4.8,41317.0,81.6,50.4,42.0,18.4
Auberry,23.0,23.0,2011-2012,2012,100.0,1600000US0603190,51.0,49.0,1.2,0.0,3.3,6.4,1.7,7.1,3.6,23.5,14.1,15.3,10.5,6.8,6.6,56.2,13.0,85.0,0.4,0.3,0.6,0.0,1.4,58659.0,86.5,80.5,28.2,13.5
Auburn,3508.0,3251.0,2011-2012,2012,92.67388825541619,1600000US0603204,47.9,52.1,4.7,5.9,4.3,6.9,4.7,11.6,11.7,16.0,9.6,6.9,9.5,5.0,3.3,45.3,5.8,86.7,1.4,0.5,1.3,0.1,8.2,59238.0,92.6,76.2,31.4,7.4
Avalon,411.0,397.0,2011-2012,2012,96.59367396593674,1600000US0603274,50.3,49.7,7.0,4.8,9.2,7.3,7.0,14.4,12.2,15.0,6.0,5.1,7.4,2.4,2.3,35.4,62.7,35.9,0.0,0.0,0.2,0.0,2.6,52955.0,64.4,48.8,23.1,35.6
Avenal,1427.0,1419.0,2011-2012,2012,99.43938332165382,1600000US0603302,60.2,39.8,10.1,9.2,7.2,7.3,9.0,17.5,14.2,13.4,4.3,2.7,3.7,1.0,0.4,29.3,82.5,10.9,3.9,0.4,0.6,0.0,3.2,27927.0,69.0,29.7,42.6,31.0
Avery,166.0,161.0,2011-2012,2012,96.98795180722891,1600000US0603316,34.7,65.3,0.0,0.0,5.3,3.4,3.1,0.0,8.3,25.0,0.0,6.6,32.3,16.0,0.0,60.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,23368.0,90.5,54.1,56.6,9.5
Azusa,4488.0,4443.0,2011-2012,2012,98.99732620320856,1600000US0603386,48.4,51.6,7.0,6.7,7.6,11.9,12.5,13.7,13.4,11.6,4.7,3.6,3.8,2.3,1.1,28.1,67.2,19.9,3.2,0.3,8.0,0.0,2.7,53063.0,76.8,54.9,26.2,23.2
