geoid,city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
1600000US0603026,Aspen Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,2011
1600000US0603064,Atascadero,28194,14683,13511,1479,1144,1983,2010,2045,3239,3389,4866,2683,1540,1935,1403,478,42.0,3857,22768,452,278,407,0,864,68502.0,,,,,2011
1600000US0603092,Atherton,6883,3471,3412,280,468,737,555,306,275,624,1216,427,695,671,435,194,46.4,351,5555,11,0,681,65,435,,,,,,2011
1600000US0603162,Atwater,27922,13538,14384,2629,2432,2270,2415,2043,4278,3376,3123,1012,1196,1739,1085,324,29.9,13729,10041,1199,49,1933,137,1584,40752.0,,,,,2011
1600000US0603190,Auberry,2259,1169,1090,123,99,173,164,25,122,223,416,196,290,192,109,127,49.6,210,1819,2,167,11,0,100,70096.0,,,,,2011
1600000US0603204,Auburn,13476,6250,7226,698,878,672,841,594,1524,1630,2185,1163,929,1159,730,473,44.7,885,11738,137,54,147,16,968,62600.0,,,,,2011
1600000US0603205,Auburn Lake Trails,3741,1834,1907,194,203,305,338,24,295,584,700,249,197,365,126,161,44.1,87,3559,38,0,8,0,98,79573.0,,,,,2011
1600000US0603209,August,8017,3699,4318,855,960,763,462,613,1063,1095,812,434,258,221,322,159,27.8,5661,1838,122,9,336,0,102,30231.0,,,,,2011
1600000US0603274,Avalon,3690,1890,1800,277,83,391,222,195,573,407,543,236,182,329,174,78,36.9,2275,1357,1,0,13,0,88,49514.0,,,,,2011
1600000US0603302,Avenal,15705,8766,6939,1645,1659,1283,1170,1393,2869,2019,1805,628,452,587,138,57,26.8,13571,1445,446,37,47,0,318,29183.0,,,,,2011
1600000US0603316,Avery,415,160,255,0,0,0,24,24,0,27,137,0,38,101,64,0,51.9,0,415,0,0,0,0,0,23162.0,,,,,2011
1600000US0603330,Avilla Beach,1086,513,573,0,18,0,16,10,92,0,238,135,202,220,132,23,62.4,24,969,0,0,0,0,186,65483.0,,,,,2011
1600000US0603344,Avocado Heights,15378,7616,7762,944,1105,1186,1470,1355,2186,1911,2101,728,668,984,529,211,32.7,12340,1276,168,10,1368,0,301,73030.0,,,,,2011
1600000US0603386,Azusa,46177,22221,23956,3752,3036,3329,5058,5844,6537,6483,5220,2063,1538,1841,1113,363,27.8,30919,9389,1632,60,3638,0,988,53826.0,,,,,2011
1600000US0603512,Baker,713,494,219,35,39,77,61,66,138,130,108,11,30,18,0,0,30.2,496,116,58,0,0,13,54,33000.0,,,,,2011
1600000US0603526,Bakersfield,339761,167703,172058,30489,28994,28529,29344,26430,50808,45195,43325,16066,11828,15724,9377,3652,29.8,151310,130481,26962,1852,19661,395,17355,54656.0,,,,,2011
1600000US0603666,Baldwin Park,75441,37607,37834,5572,5771,6720,7366,6073,11034,10589,9457,4084,2637,3526,1980,632,30.2,59477,3683,306,92,11170,50,1201,52094.0,,,,,2011
1600000US0603694,Ballard,429,191,238,11,26,15,39,19,42,76,63,53,37,30,18,0,44.6,23,391,0,0,0,0,30,123750.0,,,,,2011
1600000US0603708,Ballico,384,194,190,33,28,25,30,63,40,39,43,24,15,27,3,14,28.5,189,183,0,2,6,4,0,66875.0,,,,,2011
1600000US0603792,Bangor,416,175,241,10,18,48,30,0,33,27,93,27,47,48,16,19,48.6,0,368,0,18,9,0,42,45625.0,,,,,2011
1600000US0603820,Banning,29414,13820,15594,1427,1517,1719,1915,1372,3027,3003,3768,1478,1559,4008,3555,1066,46.7,10874,14469,1770,74,1922,0,558,37373.0,,,,,2011
1600000US0604030,Barstow,22913,11668,11245,2186,1242,1635,2222,1793,2826,3266,3032,1314,1179,1212,756,250,33.3,9067,7787,3709,322,373,699,1912,45417.0,,,,,2011
1600000US0604198,Bass Lake,473,212,261,0,0,0,9,13,16,40,93,49,49,145,45,14,61.7,16,441,0,16,0,0,0,77857.0,,,,,2011
1600000US0604415,Bay Point,21987,11241,10746,1796,1961,1569,2330,1383,3556,3418,2915,1049,707,932,302,69,30.5,11884,4810,2631,34,1682,91,1665,45389.0,,,,,2011
1600000US0604470,"Bayview CDP (Contra Costa County), California",2168,1099,1069,158,136,134,128,97,382,297,301,102,100,143,134,56,37.1,641,803,269,20,394,0,82,78385.0,,,,,2011
1600000US0604478,"Bayview CDP (Humboldt County), California",2818,1370,1448,190,238,159,123,307,465,334,342,231,96,129,138,66,33.1,710,1842,0,123,23,0,240,31828.0,,,,,2011
1600000US0604576,Beale AFB,1818,968,850,305,245,132,70,269,548,189,36,0,12,0,0,12,23.8,329,1113,34,0,94,8,416,43125.0,,,,,2011
1600000US0604632,Bear Creek,188,111,77,0,14,31,29,18,0,35,32,10,0,19,0,0,38.2,168,20,0,0,0,0,0,72625.0,,,,,2011
1600000US0604716,"Bear Valley CDP (Alpine County), California",71,25,46,0,9,0,0,30,17,0,15,0,0,0,0,0,23.9,9,62,0,0,0,0,0,57188.0,,,,,2011
1600000US0604730,"Bear Valley CDP (Mariposa County), California",255,170,85,0,0,45,0,81,0,0,25,35,0,32,37,0,45.1,0,255,0,0,0,0,0,15417.0,,,,,2011
1600000US0604734,Bear Valley Springs,5273,2729,2544,289,283,364,345,180,309,408,982,606,433,701,269,104,47.9,470,4489,23,6,96,0,362,78635.0,,,,,2011
1600000US0604758,Beaumont,34737,16839,17898,3546,2494,2482,2582,1498,5967,5357,3764,2055,1728,2274,657,333,33.1,13052,15870,1532,98,3521,0,1290,66132.0,,,,,2011
1600000US0604772,Beckwourth,460,272,188,8,0,0,23,21,23,16,76,57,185,51,0,0,60.1,0,434,0,0,0,0,52,52414.0,,,,,2011
1600000US0604856,Belden,56,14,42,0,17,0,0,0,0,14,25,0,0,0,0,0,39.8,0,31,0,0,25,0,0,10550.0,,,,,2011
1600000US0604870,Bell,35602,18177,17425,3539,2799,3360,3484,2611,5328,5155,4285,1712,1042,1166,789,332,28.5,32803,2120,323,48,116,139,93,37121.0,,,,,2011
1600000US0604926,Bella Vista,2344,1052,1292,117,63,192,187,75,175,312,443,141,124,313,169,33,45.7,140,2137,0,24,18,16,18,54958.0,,,,,2011
1600000US0604938,Bell Canyon,2291,1175,1116,53,96,136,197,165,78,311,463,411,146,183,52,0,48.4,77,1846,0,63,236,0,120,220764.0,,,,,2011
1600000US0604982,Bellflower,76243,37005,39238,5895,5856,6510,6406,5902,10992,11133,9651,3703,3164,3871,2389,771,31.9,38663,16617,10479,224,8411,320,2477,50244.0,,,,,2011
1600000US0604996,Bell Gardens,42294,21045,21249,4174,3839,4353,4333,3057,6645,6163,4789,1708,1063,1339,541,290,27.0,41008,855,208,31,126,0,68,38971.0,,,,,2011
1600000US0605108,Belmont,25568,12695,12873,1787,1350,1405,1396,1294,3449,4172,3998,1837,1330,1852,1210,488,39.5,3107,14612,562,63,5610,0,3091,100417.0,,,,,2011
1600000US0605164,Belvedere,2118,1015,1103,76,243,67,114,22,44,285,277,232,131,293,210,124,52.8,162,1864,8,0,26,0,110,160455.0,,,,,2011
1600000US0605262,Benbow,415,184,231,0,12,25,8,0,14,35,48,120,93,35,0,25,56.5,34,381,0,0,0,0,0,54250.0,,,,,2011
1600000US0605276,Bend,620,327,293,17,30,44,52,12,36,85,89,101,49,73,26,6,49.0,22,567,0,7,9,0,26,72917.0,,,,,2011
1600000US0605290,Benicia,26981,13280,13701,1086,1701,2107,2009,1233,2553,3305,4998,2850,1854,1959,1036,290,43.5,3288,18557,842,122,2427,293,2860,90338.0,,,,,2011
1600000US0605332,Ben Lomond,6493,3104,3389,377,384,295,404,481,918,829,1113,587,468,461,106,70,40.3,415,5887,0,0,81,0,202,87300.0,,,,,2011
1600000US0605346,Benton,76,15,61,0,0,0,0,0,0,0,5,0,20,37,14,0,69.6,21,30,0,25,0,0,0,7414.0,,,,,2011
1600000US0606000,Berkeley,111008,54448,56560,4524,4083,3697,11579,18051,17101,13018,12979,6799,6004,7908,3485,1780,32.7,11635,60936,9980,149,22770,379,9880,60908.0,,,,,2011
1600000US0606028,Bermuda Dunes,7047,3818,3229,790,481,288,312,381,839,1057,1017,646,475,444,251,66,38.7,1787,4615,443,0,80,0,244,64171.0,,,,,2011
1600000US0606070,Berry Creek,1305,722,583,67,20,42,85,70,84,142,223,242,107,153,42,28,52.4,53,1095,0,26,3,0,256,36164.0,,,,,2011
1600000US0606150,Bertsch-Oceanview,2729,1565,1164,283,154,287,227,203,202,476,346,91,137,241,68,14,35.3,220,2000,1,170,30,5,606,48205.0,,,,,2011
1600000US0606210,Bethel Island,1882,893,989,10,33,60,40,105,92,119,435,210,98,405,199,76,57.2,222,1583,0,0,41,0,72,30409.0,,,,,2011
1600000US0606308,Beverly Hills,34042,15757,18285,1533,1825,2316,1992,2026,4433,4109,5029,2117,2186,2825,2247,1404,41.9,1951,28200,845,20,2307,40,1345,85560.0,,,,,2011
1600000US0606336,Bieber,280,148,132,12,18,10,19,51,52,36,50,4,3,8,13,4,27.9,45,226,0,0,4,0,10,61250.0,,,,,2011
1600000US0606406,Big Bear City,11504,5659,5845,847,559,872,872,799,1170,985,1707,933,894,1078,681,107,40.8,2721,8230,146,171,116,0,225,41509.0,,,,,2011
1600000US0606434,Big Bear Lake,5109,2480,2629,235,271,484,425,121,559,910,544,294,242,568,356,100,40.3,1228,3580,94,42,1,78,172,31541.0,,,,,2011
1600000US0606475,Big Bend,95,72,23,8,0,0,4,10,13,0,19,3,18,6,9,5,52.8,11,74,5,0,5,0,0,19250.0,,,,,2011
1600000US0606518,Big Creek,227,110,117,41,0,6,3,11,49,0,72,8,15,12,10,0,45.2,26,148,0,8,0,0,90,84583.0,,,,,2011
1600000US0606560,Biggs,1927,1030,897,154,178,152,153,145,275,246,200,107,108,124,52,33,32.8,686,1042,0,2,64,23,220,44485.0,,,,,2011
1600000US0606567,Big Lagoon,179,101,78,35,0,0,0,4,35,32,27,6,14,11,9,6,42.4,3,83,0,93,0,0,0,46354.0,,,,,2011
1600000US0606616,Big Pine,1563,790,773,46,99,78,120,54,95,185,325,100,159,157,107,38,49.1,180,1143,16,182,23,11,16,63269.0,,,,,2011
1600000US0606635,Big River,1213,497,716,0,3,60,65,16,24,60,391,104,54,238,186,12,54.7,147,971,0,37,0,0,116,29219.0,,,,,2011
1600000US0606728,Biola,1066,497,569,37,141,235,134,58,183,131,59,13,16,13,33,13,18.9,770,97,0,10,189,0,0,23274.0,,,,,2011
1600000US0606798,Bishop,3839,1952,1887,350,144,185,189,144,582,410,548,430,220,247,276,114,40.8,1196,2453,4,32,98,0,86,34258.0,,,,,2011
1600000US0606928,Blackhawk,9186,4519,4667,193,510,853,818,307,426,926,1728,977,1077,948,319,104,49.0,535,6193,365,0,1742,0,702,167778.0,,,,,2011
1600000US0606935,Blacklake,1014,432,582,32,82,48,12,19,34,116,48,13,91,393,80,46,65.8,8,977,0,14,15,0,0,81417.0,,,,,2011
1600000US0606982,Black Point-Green Point,1204,540,664,64,36,106,26,49,79,118,146,244,150,143,30,13,54.4,94,1087,0,0,10,0,26,126429.0,,,,,2011
1600000US0606994,Blairsden,32,15,17,0,0,0,0,0,0,0,32,0,0,0,0,0,52.1,17,0,0,0,0,0,30,,,,,,2011
1600000US0607036,Bloomfield,186,115,71,0,0,0,0,10,25,6,7,67,22,14,20,15,59.1,6,167,0,0,13,0,0,85515.0,,,,,2011
1600000US0607064,Bloomington,25234,12722,12512,1892,2277,2767,2841,1759,3160,3638,3351,1226,864,727,515,217,29.4,21059,2652,780,185,126,60,727,44673.0,,,,,2011
1600000US0607162,Blue Lake,1336,689,647,76,102,115,46,105,212,187,207,98,88,54,16,30,35.9,67,1072,29,103,21,5,78,55568.0,,,,,2011
1600000US0607172,Bluewater,114,64,50,0,0,0,0,0,0,0,0,0,12,64,22,16,70.5,12,102,0,0,0,0,0,32500.0,,,,,2011
1600000US0607218,Blythe,21102,14792,6310,1053,1064,1199,1106,1678,3924,3802,3656,1418,649,939,514,100,36.1,10234,6744,3264,65,362,60,746,46235.0,,,,,2011
1600000US0607246,Bodega,132,47,85,0,0,0,0,0,39,28,10,18,10,0,27,0,41.0,0,132,0,0,0,0,0,21750.0,,,,,2011
1600000US0607260,Bodega Bay,772,356,416,20,52,18,20,3,26,49,57,168,127,145,59,28,59.5,38,662,0,0,72,0,0,73250.0,,,,,2011
1600000US0607274,Bodfish,1982,877,1105,71,12,0,78,43,122,129,312,300,283,358,227,47,59.5,95,1760,0,127,0,0,0,21789.0,,,,,2011
1600000US0607316,Bolinas,1117,554,563,48,73,55,44,0,80,270,144,138,76,127,21,41,44.4,53,969,58,0,33,0,8,62083.0,,,,,2011
1600000US0607372,Bombay Beach,459,297,162,23,17,61,0,0,63,0,74,88,34,52,41,6,52.7,0,320,139,0,0,0,0,19375.0,,,,,2011
1600000US0607379,Bonadelle Ranchos-Madera Ranchos,8400,4059,4341,574,489,509,943,455,671,1033,1476,716,566,683,212,73,40.6,2184,5367,439,34,207,0,338,74917.0,,,,,2011
1600000US0607414,Bonita,13824,6767,7057,697,878,870,1025,755,1333,2047,1616,1213,934,1442,722,292,41.2,6453,5114,571,203,1218,18,494,75670.0,,,,,2011
1600000US0607470,Bonny Doon,2342,1204,1138,93,100,88,138,253,183,269,480,263,219,163,56,37,47.2,128,2039,51,41,49,0,68,90147.0,,,,,2011
1600000US0607498,Bonsall,3836,1894,1942,170,206,257,248,173,407,457,655,233,379,349,212,90,45.0,626,2824,123,0,220,0,86,79375.0,,,,,2011
1600000US0607512,Boonville,997,553,444,47,71,20,97,88,122,127,141,96,14,44,52,78,41.1,559,429,0,9,0,0,0,40242.0,,,,,2011
1600000US0607525,Bootjack,951,492,459,32,0,79,44,0,83,31,181,97,99,149,73,83,57.7,0,808,0,0,14,0,258,45875.0,,,,,2011
1600000US0607568,Boron,2323,1093,1230,261,107,152,191,137,320,211,280,86,256,165,130,27,33.9,347,1713,227,0,0,8,34,36687.0,,,,,2011
1600000US0607578,Boronda,1606,777,829,162,253,185,69,171,231,158,241,27,29,41,39,0,23.5,1326,89,0,0,159,0,64,39899.0,,,,,2011
1600000US0607596,Borrego Springs,2427,1467,960,45,154,71,158,111,126,293,328,164,180,432,193,172,54.2,1051,1284,0,21,64,0,14,40984.0,,,,,2011
1600000US0607624,Bostonia,13705,6846,6859,891,1111,778,918,1269,2063,1539,1983,512,753,945,686,257,34.1,3914,8296,730,31,316,101,634,45650.0,,,,,2011
1600000US0607652,Boulder Creek,5337,2768,2569,214,215,334,323,163,521,1008,1090,626,313,379,151,0,43.9,213,4765,0,0,88,0,542,81111.0,,,,,2011
1600000US0607694,Boulevard,23,14,9,0,0,0,0,0,0,0,14,9,0,0,0,0,50.8,4,19,0,0,0,0,0,,,,,,2011
1600000US0607750,Bowles,105,33,72,0,0,5,0,5,0,0,16,5,13,17,8,36,71.1,43,58,2,2,0,0,0,61563.0,,,,,2011
1600000US0607848,Boyes Hot Springs,7284,3255,4029,757,767,531,455,324,1318,863,925,305,301,343,268,127,29.4,3840,3054,0,51,245,0,188,47123.0,,,,,2011
1600000US0607946,Bradbury,932,421,511,21,21,56,116,79,42,101,232,66,48,82,56,12,46.5,108,509,0,0,307,0,16,118750.0,,,,,2011
1600000US0607974,Bradley,75,37,38,0,8,2,2,0,11,13,9,10,2,14,2,2,45.8,2,54,4,0,0,0,30,75625.0,,,,,2011
1600000US0608058,Brawley,24645,12280,12365,2432,1946,1916,2375,2235,2954,3114,3200,1145,679,1606,818,225,29.5,19734,3632,947,1,207,0,194,36233.0,,,,,2011
1600000US0608100,Brea,38837,18029,20808,1809,2763,2488,2732,2490,5257,6057,5637,2401,2264,2739,1573,627,38.4,9177,21724,358,69,6767,25,1361,81278.0,,,,,2011
1600000US0608142,Brentwood,48582,23897,24685,3558,4612,4388,4325,2230,5102,7991,6902,1994,2014,2969,2014,483,35.1,13886,27010,2539,39,3218,161,3354,87642.0,,,,,2011
1600000US0608172,Bret Harte,4916,2385,2531,614,366,513,440,298,760,626,599,184,90,218,155,53,27.0,4040,648,108,0,67,0,96,30833.0,,,,,2011
1600000US0608240,Bridgeport,456,244,212,0,0,41,99,24,16,60,56,51,42,31,25,11,43.8,24,361,12,55,0,4,0,68750.0,,,,,2011
1600000US0608310,Brisbane,4179,2038,2141,198,93,229,201,203,648,707,731,552,191,273,88,65,42.9,1050,1829,35,11,1027,81,292,79129.0,,,,,2011
1600000US0608338,Broadmoor,4229,1868,2361,302,194,206,181,215,549,424,557,503,400,253,346,99,45.5,951,1281,44,0,1608,40,532,74091.0,,,,,2011
1600000US0608478,Brookdale,1723,923,800,9,49,47,44,336,63,140,661,126,173,68,7,0,49.4,247,1458,0,0,18,0,0,98333.0,,,,,2011
1600000US0608530,Brooktrails,3280,1625,1655,437,235,81,224,91,523,374,363,272,270,211,176,23,35.6,126,2911,0,87,89,0,134,46932.0,,,,,2011
1600000US0608680,Buckhorn,2090,1036,1054,24,60,46,32,36,86,236,324,183,221,499,195,148,60.8,116,1940,0,0,0,0,48,50365.0,,,,,2011
1600000US0608716,Buck Meadows,12,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,59.0,0,0,0,0,12,0,0,,,,,,2011
1600000US0608744,Bucks Lake,18,8,10,0,0,0,0,0,0,0,0,18,0,0,0,0,55.9,0,18,0,0,0,0,0,,,,,,2011
1600000US0608758,Buellton,4712,2439,2273,262,353,233,280,356,499,722,773,351,411,194,221,57,39.7,1832,2490,20,117,167,0,157,66964.0,,,,,2011
