city,enrollment,vaccinated,s_year,vac_pct,geoid
Coachella,1809.0,1777.0,2018,98.2310668877833,1600000US0614260
Coalinga,692.0,675.0,2018,97.54335260115607,1600000US0614274
Coarsegold,214.0,203.0,2018,94.85981308411215,1600000US0614288
Coleville,23.0,21.0,2018,91.30434782608695,1600000US0614484
Colfax,156.0,116.0,2018,74.35897435897436,1600000US0614498
Colma,390.0,374.0,2018,95.8974358974359,1600000US0614736
Colton,2710.0,2643.0,2018,97.52767527675277,1600000US0614890
Columbia,118.0,114.0,2018,96.61016949152543,1600000US0614904
Colusa,413.0,403.0,2018,97.57869249394673,1600000US0614946
Commerce,389.0,379.0,2018,97.42930591259639,1600000US0614974
Compton,5174.0,4980.0,2018,96.25048318515655,1600000US0615044
Concord,4435.0,4261.0,2018,96.07666290868094,1600000US0616000
Copperopolis,42.0,35.0,2018,83.33333333333334,1600000US0616210
Corcoran,753.0,737.0,2018,97.87516600265604,1600000US0616224
Corning,677.0,654.0,2018,96.602658788774,1600000US0616322
Corona,7599.0,7385.0,2018,97.1838399789446,1600000US0616350
Coronado,786.0,746.0,2018,94.91094147582697,1600000US0616378
Corte Madera,856.0,811.0,2018,94.7429906542056,1600000US0616462
Costa Mesa,4257.0,4041.0,2018,94.9260042283298,1600000US0616532
Cotati,263.0,248.0,2018,94.29657794676805,1600000US0616560
Coto de Caza,53.0,51.0,2018,96.22641509433963,1600000US0616580
Cottonwood,667.0,635.0,2018,95.2023988005997,1600000US0616630
Courtland,41.0,38.0,2018,92.6829268292683,1600000US0616714
Covelo,116.0,104.0,2018,89.65517241379311,1600000US0616728
Covina,2555.0,2431.0,2018,95.14677103718199,1600000US0616742
Crescent City,802.0,769.0,2018,95.88528678304239,1600000US0617022
Cressey,37.0,30.0,2018,81.08108108108108,1600000US0617078
Crestline,145.0,140.0,2018,96.55172413793103,1600000US0617162
Crockett,112.0,110.0,2018,98.21428571428571,1600000US0617274
Cudahy,1438.0,1407.0,2018,97.8442280945758,1600000US0617498
Culver City,2724.0,2620.0,2018,96.1820851688693,1600000US0617568
Cupertino,3249.0,3142.0,2018,96.70667897814712,1600000US0617610
Cutler,257.0,251.0,2018,97.66536964980544,1600000US0617708
Cypress,2532.0,2464.0,2018,97.31437598736177,1600000US0617750
Daly City,2420.0,2325.0,2018,96.07438016528926,1600000US0617918
Dana Point,827.0,777.0,2018,93.9540507859734,1600000US0617946
Danville,3258.0,3158.0,2018,96.9306322897483,1600000US0617988
Davenport,23.0,17.0,2018,73.91304347826086,1600000US0618086
Davis,2610.0,2525.0,2018,96.74329501915709,1600000US0618100
Del Mar,287.0,276.0,2018,96.16724738675958,1600000US0618506
Del Rey,27.0,25.0,2018,92.5925925925926,1600000US0618674
Del Rey Oaks,21.0,19.0,2018,90.47619047619048,1600000US0618688
Delano,2698.0,2627.0,2018,97.36842105263158,1600000US0618394
Delhi,476.0,464.0,2018,97.47899159663865,1600000US0618464
Denair,206.0,202.0,2018,98.05825242718447,1600000US0618856
Descanso,95.0,90.0,2018,94.73684210526315,1600000US0618940
Desert Hot Springs,1437.0,1403.0,2018,97.63395963813501,1600000US0618996
Diamond Bar,2339.0,2276.0,2018,97.30654125694741,1600000US0619192
Diamond Springs,125.0,118.0,2018,94.39999999999999,1600000US0619220
Dinuba,1260.0,1236.0,2018,98.09523809523809,1600000US0619318
Discovery Bay,281.0,271.0,2018,96.44128113879003,1600000US0619339
Dixon,804.0,781.0,2018,97.13930348258707,1600000US0619402
Dorris,70.0,65.0,2018,92.85714285714286,1600000US0619584
Dos Palos,562.0,552.0,2018,98.22064056939502,1600000US0619612
Douglas City,46.0,42.0,2018,91.30434782608695,1600000US0619724
Downey,4173.0,3995.0,2018,95.73448358495088,1600000US0619766
Duarte,838.0,799.0,2018,95.34606205250597,1600000US0619990
Dublin,3507.0,3364.0,2018,95.92244083262047,1600000US0620018
