city,enrollment,vaccinated,s_year,vac_pct,geoid
Greenfield,3962.0,3946.0,2012,99.59616355376073,1600000US0630994
Greenville,132.0,117.0,2012,88.63636363636364,1600000US0631162
Grenada,50.0,44.0,2012,88.0,1600000US0631246
Gridley,1366.0,1340.0,2012,98.09663250366032,1600000US0631260
Grimes,11.0,11.0,2012,100.0,1600000US0631288
Groveland,171.0,158.0,2012,92.39766081871345,1600000US0631372
Grover Beach,185.0,169.0,2012,91.35135135135135,1600000US0631393
Guadalupe,493.0,489.0,2012,99.18864097363083,1600000US0631414
Guerneville,112.0,107.0,2012,95.53571428571429,1600000US0631470
Gustine,955.0,929.0,2012,97.27748691099475,1600000US0631568
Hacienda Heights,6801.0,6634.0,2012,97.54447875312454,1600000US0631596
Half Moon Bay,1921.0,1863.0,2012,96.98073919833419,1600000US0631708
Hamilton City,520.0,507.0,2012,97.5,1600000US0631890
Hanford,8196.0,8051.0,2012,98.23084431429966,1600000US0631960
Happy Camp,117.0,113.0,2012,96.58119658119658,1600000US0632030
Hawaiian Gardens,870.0,862.0,2012,99.08045977011494,1600000US0632506
Hawthorne,9096.0,8873.0,2012,97.54837291116975,1600000US0632548
Hayfork,201.0,163.0,2012,81.09452736318407,1600000US0632562
Hayward,15217.0,14998.0,2012,98.56082013537491,1600000US0633000
Healdsburg,1825.0,1752.0,2012,96.0,1600000US0633056
Heber,443.0,438.0,2012,98.87133182844244,1600000US0633084
Hemet,12527.0,12228.0,2012,97.61315558393869,1600000US0633182
Herald,164.0,157.0,2012,95.73170731707317,1600000US0633294
Hercules,1911.0,1896.0,2012,99.21507064364206,1600000US0633308
Herlong,123.0,116.0,2012,94.3089430894309,1600000US0633336
Hermosa Beach,550.0,505.0,2012,91.81818181818183,1600000US0633364
Hesperia,12363.0,12084.0,2012,97.74326619752487,1600000US0633434
Hickman,373.0,302.0,2012,80.9651474530831,1600000US0633504
Highland,3565.0,3516.0,2012,98.62552594670406,1600000US0633588
Hillsborough,963.0,950.0,2012,98.65005192107996,1600000US0633798
Hilmar-Irwin,1309.0,1266.0,2012,96.71504965622613,1600000US0633861
Hollister,6073.0,5936.0,2012,97.74411328832538,1600000US0634120
Holtville,986.0,975.0,2012,98.88438133874239,1600000US0634246
Hughson,1481.0,1465.0,2012,98.91964888588791,1600000US0634904
Huntington Beach,20818.0,19915.0,2012,95.6624075319435,1600000US0636000
Huntington Park,10549.0,10396.0,2012,98.54962555692482,1600000US0636056
Huron,554.0,551.0,2012,99.45848375451264,1600000US0636084
Hydesville,48.0,48.0,2012,100.0,1600000US0636126
Idyllwild-Pine Cove,419.0,400.0,2012,95.4653937947494,1600000US0636203
Imperial,2168.0,2143.0,2012,98.84686346863468,1600000US0636280
Imperial Beach,2830.0,2758.0,2012,97.45583038869258,1600000US0636294
Indian Wells,105.0,103.0,2012,98.09523809523809,1600000US0636434
Indio,8389.0,8285.0,2012,98.76028132077721,1600000US0636448
Industry,1794.0,1758.0,2012,97.9933110367893,1600000US0636490
Inglewood,10773.0,10445.0,2012,96.95535134131626,1600000US0636546
Inverness,18.0,7.0,2012,38.88888888888889,1600000US0636616
Inyokern,61.0,49.0,2012,80.32786885245902,1600000US0636658
Ione,131.0,124.0,2012,94.65648854961832,1600000US0636672
Irvine,22669.0,21809.0,2012,96.20627288367373,1600000US0636770
Irwindale,4159.0,4069.0,2012,97.83601827362347,1600000US0636826
Isleton,18.0,16.0,2012,88.88888888888889,1600000US0636882
Ivanhoe,174.0,169.0,2012,97.12643678160919,1600000US0636910
Jackson,1360.0,1305.0,2012,95.95588235294117,1600000US0636980
Jacumba,20.0,13.0,2012,65.0,1600000US0637022
Jamestown,235.0,202.0,2012,85.95744680851064,1600000US0637106
Jamul,573.0,495.0,2012,86.38743455497382,1600000US0637120
Janesville,133.0,122.0,2012,91.72932330827066,1600000US0637134
Joshua Tree,202.0,194.0,2012,96.03960396039604,1600000US0637554
Julian,1500.0,1258.0,2012,83.86666666666667,1600000US0637582
Junction City,10.0,8.0,2012,80.0,1600000US0637596
Jurupa Valley,9228.0,9086.0,2012,98.46120502817512,1600000US0637692
Kelseyville,1012.0,967.0,2012,95.55335968379447,1600000US0638044
Kensington,295.0,277.0,2012,93.89830508474576,1600000US0638086
Kentfield,1272.0,1243.0,2012,97.72012578616352,1600000US0638114
Kenwood,42.0,39.0,2012,92.85714285714286,1600000US0638156
Kerman,2628.0,2592.0,2012,98.63013698630137,1600000US0638226
Kernville,33.0,32.0,2012,96.96969696969697,1600000US0638310
Kettleman City,131.0,130.0,2012,99.23664122137404,1600000US0638394
