county,enrollment,vaccinated,s_year,vac_pct,geoid
San Luis Obispo,8600.0,7968.0,2015,92.65116279069767,0500000US06079
San Mateo,30447.0,29539.0,2015,97.01776858146944,0500000US06081
Santa Barbara,18299.0,17597.0,2015,96.16372479370457,0500000US06083
Santa Clara,81678.0,78111.0,2015,95.63285095129656,0500000US06085
Santa Cruz,9985.0,8958.0,2015,89.71457185778668,0500000US06087
Shasta,6540.0,5870.0,2015,89.75535168195718,0500000US06089
Sierra,78.0,78.0,2015,100.0,0500000US06091
Siskiyou,1243.0,1105.0,2015,88.89782783588093,0500000US06093
Solano,13632.0,13085.0,2015,95.98738262910797,0500000US06095
Sonoma,18260.0,17230.0,2015,94.3592552026287,0500000US06097
Stanislaus,24126.0,23058.0,2015,95.57324048744094,0500000US06099
Sutter,5330.0,5019.0,2015,94.16510318949344,0500000US06101
Tehama,2465.0,2366.0,2015,95.98377281947262,0500000US06103
Trinity,232.0,206.0,2015,88.79310344827587,0500000US06105
Tulare,21153.0,20710.0,2015,97.90573441119463,0500000US06107
Tuolumne,1301.0,1125.0,2015,86.47194465795542,0500000US06109
Ventura,34549.0,32416.0,2015,93.82615994674231,0500000US06111
Yolo,7216.0,6931.0,2015,96.05044345898004,0500000US06113
Yuba,3949.0,3768.0,2015,95.41656115472271,0500000US06115
Alameda,62628.0,60910.0,2016,97.25681803666092,0500000US06001
Amador,860.0,782.0,2016,90.93023255813954,0500000US06005
Butte,8941.0,8320.0,2016,93.05446818029304,0500000US06007
Calaveras,1008.0,914.0,2016,90.67460317460318,0500000US06009
Colusa,1005.0,1002.0,2016,99.70149253731343,0500000US06011
Contra Costa,45751.0,44278.0,2016,96.78039824266136,0500000US06013
Del Norte,847.0,779.0,2016,91.97166469893743,0500000US06015
El Dorado,6450.0,5997.0,2016,92.97674418604652,0500000US06017
Fresno,49177.0,47867.0,2016,97.33615307969173,0500000US06019
Glenn,1141.0,1113.0,2016,97.54601226993866,0500000US06021
Humboldt,4544.0,3911.0,2016,86.06954225352112,0500000US06023
Imperial,7668.0,7493.0,2016,97.71778821074597,0500000US06025
Inyo,585.0,569.0,2016,97.26495726495726,0500000US06027
Kern,39338.0,37931.0,2016,96.4233057094921,0500000US06029
Kings,6550.0,6360.0,2016,97.09923664122138,0500000US06031
Lake,1978.0,1863.0,2016,94.18604651162791,0500000US06033
Lassen,847.0,750.0,2016,88.5478158205431,0500000US06035
Los Angeles,370742.0,352532.0,2016,95.08822847155164,0500000US06037
Madera,6818.0,6598.0,2016,96.77324728659431,0500000US06039
Marin,11518.0,10860.0,2016,94.28720263934711,0500000US06041
Mariposa,352.0,307.0,2016,87.2159090909091,0500000US06043
Mendocino,3179.0,2876.0,2016,90.4687008493237,0500000US06045
Merced,12929.0,12607.0,2016,97.50947482403897,0500000US06047
Modoc,365.0,332.0,2016,90.95890410958904,0500000US06049
Mono,337.0,304.0,2016,90.20771513353115,0500000US06051
Monterey,19083.0,18538.0,2016,97.14405491798983,0500000US06053
Napa,5412.0,5213.0,2016,96.3229859571323,0500000US06055
Nevada,2619.0,2192.0,2016,83.69606720122184,0500000US06057
Orange,127560.0,121579.0,2016,95.31122608968329,0500000US06059
Placer,15184.0,13891.0,2016,91.48445732349842,0500000US06061
Plumas,476.0,420.0,2016,88.23529411764706,0500000US06063
Riverside,89995.0,86932.0,2016,96.59647758208789,0500000US06065
Sacramento,52945.0,49377.0,2016,93.26093115497214,0500000US06067
San Benito,2470.0,2388.0,2016,96.68016194331985,0500000US06069
San Bernardino,88697.0,85729.0,2016,96.65377633967327,0500000US06071
San Diego,129767.0,123828.0,2016,95.42333567085622,0500000US06073
San Francisco,24843.0,23636.0,2016,95.14148854808195,0500000US06075
San Joaquin,31111.0,30082.0,2016,96.69248818745781,0500000US06077
San Luis Obispo,9020.0,8481.0,2016,94.02439024390243,0500000US06079
San Mateo,31307.0,30482.0,2016,97.36480659277478,0500000US06081
Santa Barbara,17780.0,17097.0,2016,96.15860517435321,0500000US06083
Santa Clara,87482.0,83949.0,2016,95.96145492787088,0500000US06085
Santa Cruz,10007.0,9216.0,2016,92.09553312681123,0500000US06087
Shasta,6435.0,5760.0,2016,89.5104895104895,0500000US06089
Sierra,85.0,82.0,2016,96.47058823529412,0500000US06091
Siskiyou,1334.0,1187.0,2016,88.98050974512743,0500000US06093
Solano,12828.0,12400.0,2016,96.66354848768319,0500000US06095
Sonoma,18073.0,17079.0,2016,94.50008299673546,0500000US06097
Stanislaus,24997.0,24013.0,2016,96.0635276233148,0500000US06099
Sutter,5334.0,4935.0,2016,92.51968503937007,0500000US06101
Tehama,2554.0,2458.0,2016,96.24119028974158,0500000US06103
Trinity,290.0,250.0,2016,86.20689655172413,0500000US06105
Tulare,21713.0,21278.0,2016,97.99659190346797,0500000US06107
Tuolumne,1442.0,1228.0,2016,85.15950069348128,0500000US06109
Ventura,35340.0,33584.0,2016,95.03112620260328,0500000US06111
Yolo,8040.0,7673.0,2016,95.43532338308458,0500000US06113
Yuba,3383.0,3230.0,2016,95.47738693467338,0500000US06115
Alameda,62830.0,60592.0,2017,96.4380073213433,0500000US06001
