GEO.id,county,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
0500000US06097,Sonoma ,478551,235316,243235,28071,28681,29854,33352,31694,59646,61751,73547,35163,31190,33817,20821,10964,39.7,116222,320066,6808,3851,18799,1358,22109,64343,,,,,2011
0500000US06099,Stanislaus ,512469,253770,258699,40202,38569,42799,42710,37221,69901,67791,68804,28914,21667,28882,17410,7599,32.6,211811,242716,13329,2940,25837,3207,24327,50671,,,,,2011
0500000US06101,Sutter ,94192,46861,47331,7242,7320,6906,7278,6350,12655,12372,12556,4912,4829,6438,4105,1229,34.4,26642,48205,1670,682,12935,281,7352,50010,,,,,2011
0500000US06103,Tehama ,62985,31320,31665,4335,4081,4671,4733,3577,7086,7493,9065,4532,3405,5717,3181,1109,39.4,13491,45591,418,1116,688,69,3196,38753,,,,,2011
0500000US06105,Trinity ,13711,7116,6595,790,655,620,689,604,1332,1392,2335,1319,1369,1550,619,437,49.3,924,11446,53,220,152,40,1721,37672,,,,,2011
0500000US06107,Tulare ,436234,218666,217568,40888,37095,40357,38495,32207,60900,54778,51635,21813,17058,22352,13126,5530,29.5,260798,145490,5453,3010,14175,284,13434,43550,,,,,2011
0500000US06109,Tuolumne ,55736,29370,26366,2489,2595,2824,3353,3128,5929,6138,8937,4886,4319,6060,3689,1389,47.2,5861,45448,1154,900,580,78,3004,47359,,,,,2011
0500000US06111,Ventura ,815745,405416,410329,55630,56951,59918,64033,55774,103607,112831,122334,48986,41497,49884,31020,13280,36.2,323735,402322,12905,1700,54848,1319,36654,76728,,,,,2011
0500000US06113,Yolo ,198889,96986,101903,12374,12452,11974,19652,28242,27424,23719,24534,10541,8641,10165,6374,2797,30.1,59340,99980,4674,1222,25199,1005,14381,57920,,,,,2011
0500000US06115,Yuba ,71817,36252,35565,6253,5637,5732,5569,5300,10561,8928,9380,3814,3569,3932,2370,772,31.7,17687,42295,1849,957,4979,221,7282,46617,,,,,2011
0500000US06001,Alameda ,1515136,742993,772143,98185,95028,90384,98725,107624,230168,228990,221741,95216,78938,91973,53163,25001,36.6,339441,516580,181711,4318,397475,12442,120919,71516,1316411.0,1065525.0,376206.0,185774.0,2012
0500000US06003,Alpine ,1197,669,528,60,96,43,109,88,85,161,171,145,92,87,55,5,43.2,78,835,0,230,32,22,0,59931,906.0,649.0,363.0,291.0,2012
0500000US06005,Amador ,37764,20542,17222,1345,1706,1845,2356,1640,3428,4462,6293,3729,3098,4543,2389,930,48.4,4673,30248,946,707,473,46,1317,53462,29297.0,23254.0,13004.0,4021.0,2012
0500000US06007,Butte ,220101,108961,111140,12340,12030,13211,17208,24468,25959,23423,28570,14860,13944,17445,11261,5382,37.3,31256,165440,2982,1712,9195,390,18141,43339,182717.0,130226.0,82655.0,35348.0,2012
0500000US06009,Calaveras ,45507,22871,22636,1838,2338,2626,2933,2014,3421,4592,7481,4290,4158,5950,2706,1160,49.5,4738,37944,468,354,619,20,2647,54686,39963.0,31832.0,16796.0,5041.0,2012
0500000US06011,Colusa ,21329,11019,10310,1833,1785,1601,1802,1272,2662,2736,2771,1151,1168,1394,877,277,33.9,11740,8535,157,109,223,45,1040,52165,16636.0,10640.0,8038.0,4447.0,2012
0500000US06013,Contra Costa ,1052047,513441,538606,66847,72770,73362,73605,61194,129638,149494,163310,69637,59612,72215,40767,19596,38.5,255128,503249,93001,2580,150514,4507,82499,78187,923084.0,779845.0,255159.0,123086.0,2012
