county,enrollment,vaccinated,school_year,year,vac_pct,GEO.id,tot_pop,male,male_pct,female,female_pct,under_5,under_5_pct,5_9,5_9_pct,10_14,10_14_pct,15_19,15_19_pct,20_24,20_24_pct,25_34,25_34_pct,35_44,35_44_pct,45_54,45_54_pct,55_59,55_59_pct,60_64,60_64_pct,65_74,65_74_pct,75_84,75_84_pct,85_over,85_over_pct,median_age,median_age_pct,hispanic_latino,hispanic_latino_pct,mexican,mexican_pct,white,white_pct,black,black_pct,aian,aian_pct,asian,asian_pct,nhopi,nhopi_pct,other,other_pct,GEO.id2_y,median_income,insurance,insurance_pct,private_insure,private_insure_pct,public_insure,public_insure_pct,no_insurance,no_insurance_pct,hs_degree_pct,bachelor_degree_pct
Riverside,262530.0,255106.0,2011-2012,2012,97.17213270864282,0500000US06065,2192982,1091924,49.8,1101058,50.2,162885,7.4,167030,7.6,176811,8.1,184130,8.4,156519,7.1,284327,13.0,294229,13.4,290891,13.3,115963,5.3,98604,4.5,142535,6.5,88061,4.0,30997,1.4,33.7,,998113,45.5,891663.0,40.7,867580,39.6,129961,5.9,10616,0.5,127477,5.8,5947,0.3,100884,4.6,6065,57096,1734530,80.0,1263773,58.3,658990,30.4,434493,20.0,79.2,20.5
Sacramento,150077.0,142454.0,2011-2012,2012,94.92060742152361,0500000US06067,1422348,696786,49.0,725562,51.0,100916,7.1,97705,6.9,100274,7.0,103345,7.3,103286,7.3,208310,14.6,191818,13.5,199297,14.0,85826,6.0,70452,5.0,85133,6.0,52273,3.7,23713,1.7,34.9,,305985,21.5,254077.0,17.9,688966,48.4,138550,9.7,7709,0.5,202614,14.2,13737,1.0,125352,8.899999999999999,6067,55846,1207326,86.1,904510,64.5,447096,31.9,194999,13.9,85.6,27.9
San Benito,6860.0,6697.0,2011-2012,2012,97.62390670553935,0500000US06069,55467,27693,49.9,27774,50.1,4075,7.3,4320,7.8,4649,8.4,4572,8.2,3613,6.5,7085,12.8,7542,13.6,8167,14.7,3310,6.0,2612,4.7,3139,5.7,1701,3.1,682,1.2,34.1,,31300,56.4,29588.0,53.3,21094,38.0,445,0.8,176,0.3,1240,2.2,0,0.0,2273,4.1,6069,63939,46229,83.7,35251,63.8,15924,28.8,9000,16.3,75.6,18.4
San Bernardino,255058.0,248063.0,2011-2012,2012,97.25748653247497,0500000US06071,2041029,1015499,49.8,1025530,50.2,159294,7.8,156851,7.7,168576,8.3,177644,8.7,162538,8.0,284640,13.9,274096,13.4,275815,13.5,109534,5.4,88211,4.3,105517,5.2,56868,2.8,21445,1.1,31.7,,1005858,49.3,877177.0,43.0,677104,33.2,169394,8.3,7702,0.4,126685,6.2,6128,0.3,91940,4.4,6071,54750,1592702,79.6,1116296,55.8,605959,30.3,408678,20.4,78.0,18.6
San Diego,333607.0,321270.0,2011-2012,2012,96.30193611045333,0500000US06073,3100500,1556457,50.2,1544043,49.8,205350,6.6,195795,6.3,195217,6.3,222528,7.2,270586,8.7,474450,15.3,422022,13.6,427908,13.8,182201,5.9,148263,4.8,184357,5.9,116749,3.8,55074,1.8,34.7,,992087,32.0,891113.0,28.7,1502635,48.5,148249,4.8,11009,0.4,336129,10.8,13480,0.4,188633,6.1,6073,63373,2485380,82.9,2009611,67.1,747564,24.9,511478,17.1,85.4,34.4
San Francisco,54453.0,52817.0,2011-2012,2012,96.99557416487613,0500000US06075,807755,409803,50.7,397952,49.3,35811,4.4,28358,3.5,26545,3.3,34780,4.3,57482,7.1,170852,21.2,134483,16.6,111494,13.8,50156,6.2,46777,5.8,55140,6.8,38387,4.8,17490,2.2,38.5,,121628,15.1,62736.0,7.8,337443,41.8,46293,5.7,2044,0.3,268548,33.2,3422,0.4,53576,6.6,6075,73802,712738,88.7,571214,71.1,210244,26.2,90771,11.3,85.9,52.0
San Joaquin,84867.0,83541.0,2011-2012,2012,98.43755523348298,0500000US06077,687036,342120,49.8,344916,50.2,54511,7.9,54660,8.0,56276,8.2,57554,8.4,49378,7.2,91032,13.2,91178,13.3,91392,13.3,38852,5.7,30047,4.4,39159,5.7,22928,3.3,10069,1.5,32.6,,266808,38.8,236904.0,34.5,246851,35.9,46941,6.8,2939,0.4,96169,14.0,3382,0.5,46781,6.800000000000001,6077,53895,564165,83.2,400595,59.1,223807,33.0,114008,16.8,76.8,17.9
San Luis Obispo,22800.0,21317.0,2011-2012,2012,93.49561403508771,0500000US06079,270121,138319,51.2,131802,48.8,13375,5.0,13047,4.8,14784,5.5,22108,8.2,28136,10.4,31644,11.7,29540,10.9,39039,14.5,19775,7.3,17173,6.4,21617,8.0,13241,4.9,6642,2.5,39.3,,56068,20.8,48915.0,18.1,191834,71.0,5475,2.0,1311,0.5,8925,3.3,310,0.1,11971,4.4,6079,59628,223717,85.6,188096,71.9,72247,27.6,37710,14.4,89.5,31.5
San Mateo,69543.0,67952.0,2011-2012,2012,97.71220683605827,0500000US06081,721183,354728,49.2,366455,50.8,46276,6.4,45401,6.3,41489,5.8,41364,5.7,40267,5.6,100184,13.9,108827,15.1,110147,15.3,48117,6.7,41511,5.8,50844,7.1,31767,4.4,14989,2.1,39.3,,181328,25.1,119319.0,16.5,306464,42.5,18910,2.6,1021,0.1,177813,24.7,10448,1.4,48239,6.6,6081,87751,636799,89.0,546518,76.3,164661,23.0,79102,11.0,88.3,43.9
Santa Barbara,44037.0,42532.0,2011-2012,2012,96.58241932920045,0500000US06083,423594,212662,50.2,210932,49.8,27600,6.5,25982,6.1,26300,6.2,37860,8.9,44513,10.5,56486,13.3,50385,11.9,54554,12.9,24295,5.7,20747,4.9,27083,6.4,17865,4.2,9924,2.3,33.6,,180631,42.6,166548.0,39.3,203859,48.1,7171,1.7,2204,0.5,19799,4.7,767,0.2,17814,4.2,6083,62723,340502,81.9,262636,63.2,122246,29.4,75355,18.1,79.7,31.5
