facility_num,county,is_public,city,facility_name,enrollment,n,pct,reported,vac_info_type
6935589.0,Los Angeles,PRIVATE,Pasadena,POLYTECHNIC SCHOOL,75.0,75.0,100.0,Y,7thGradeData
6935589.0,Los Angeles,PRIVATE,Pasadena,POLYTECHNIC SCHOOL,77.0,77.0,100.0,Y,7thGradeData
6935589.0,Los Angeles,PRIVATE,Pasadena,POLYTECHNIC SCHOOL,98.0,98.0,100.0,Y,7thGradeData
6935589.0,Los Angeles,PRIVATE,Pasadena,POLYTECHNIC SCHOOL,98.0,98.0,100.0,Y,7thGradeData
6935589.0,Los Angeles,PRIVATE,Pasadena,POLYTECHNIC SCHOOL,88.0,88.0,100.0,Y,7thGradeData
6935589.0,Los Angeles,PRIVATE,Pasadena,POLYTECHNIC SCHOOL,91.0,91.0,100.0,Y,7thGradeData
6982979.0,Los Angeles,PRIVATE,Pasadena,SEQUOYAH SCHOOL,22.0,20.0,90.90909,Y,7thGradeData
6982979.0,Los Angeles,PRIVATE,Pasadena,SEQUOYAH SCHOOL,21.0,18.0,85.71429,Y,7thGradeData
6963367.0,Los Angeles,PRIVATE,Pasadena,ST. ANDREW ELEMENTARY,20.0,20.0,100.0,Y,7thGradeData
6963367.0,Los Angeles,PRIVATE,Pasadena,ST. ANDREW ELEMENTARY,30.0,30.0,100.0,Y,7thGradeData
6954069.0,Los Angeles,PRIVATE,Pasadena,ST. GREGORY'S A. AND M. HOVSEPIAN SCHOOL,14.0,13.0,92.85714,Y,7thGradeData
7103914.0,Los Angeles,PRIVATE,Pasadena,ST. MONICA ACADEMY,18.0,17.0,94.44444,Y,7thGradeData
7103914.0,Los Angeles,PRIVATE,Pasadena,ST. MONICA ACADEMY,12.0,12.0,100.0,Y,7thGradeData
7103914.0,Los Angeles,PRIVATE,Pasadena,ST. MONICA ACADEMY,15.0,14.0,93.33333,Y,7thGradeData
7103914.0,Los Angeles,PRIVATE,Pasadena,ST. MONICA ACADEMY,22.0,20.0,90.90909,Y,7thGradeData
7103914.0,Los Angeles,PRIVATE,Pasadena,ST. MONICA ACADEMY,11.0,11.0,100.0,Y,7thGradeData
